item,policy,type
20_loop1,Ban import of any produce that can be produced locally.,limit
16_loop2,Ban the production of carbon-intensive food.,limit
17_loop2,Ban carbon-intensive cattle farming and dairy production.,limit
18_loop1,Set legal limits on how much meat can be produced.,limit
18_loop2,Set limits on dairy production.,limit
15_loop3,Require farmers to absorb and store carbon in the soil.,geoengineering
17_loop3,Require farmers use alternative feeds (like seaweed) to reduce their emissions.*,require
19_loop1,Subsidize the purchase of food production with a low carbon footprint.,subsidy
15_loop2,Pay farmers for land use that increase carbon storage in the soil.,geoengineering
19_loop2,Remove subsidies for the cattle industry.,subsidy
20_loop2,Provide subsidies for locally produced food.,subsidy
16_loop3,Provide subsidies for farmers to reduce their emissions.,subsidy
16_loop1,Remove subsidies for farmers using carbon-intensive practices.,tax
17_loop1,Tax food production according to its carbon emissions.,tax
21_loop1,Increase taxes on imported vegetables and fruits.,tax
18_loop3,Tax the sale of dairy products.,tax
19_loop3,Tax the sale of meat.,tax
20_loop3,Increase taxes on imported food which could be farmed locally.,tax
2_loop1,Ban the production and sale of gas appliances.,limit
6_loop2,Fund programs to provide information on the climate impacts of products.,funding
25_loop3,Fund research into carbon neutral products,funding
1_loop1,Require new home appliances be more energy-efficient.,require
4_loop1,Increase heating and cooling efficiency standards in residential buildings.,require
3_loop3,Require new homes are built to be more energy-efficient.,require
24_loop3,"Require that new buildings use only low-carbon heating systems (e.g., heat pumps).",require
26_loop3,Require schools teach about the causes and consequences of global warming.,require
25_loop1,"Provide subsidies for low-carbon heating systems (e.g., heat pumps).",subsidy
27_loop1,Provide subsidies for education programs about the causes and consequences of global warming.,subsidy
1_loop2,Subsidize purchases of more energy-efficient home appliances.,subsidy
4_loop2,Provide subsidies for improving insulation in residential buildings.,subsidy
2_loop3,Subsidize the purchase of electric alternativies for lawn and garden equipment like lawnmowers.,subsidy
1_loop3,Provide tax credits for purchases of more energy-efficient home appliances.,subsidy
3_loop2,Remove subsidies for carbon-intensive construction.,tax
3_loop1,Increase taxes on gas appliances.,tax
30_loop1,Increase taxes on very large homes.,tax
