id,age,gender,ideology,pid,degree,industry,worried,happening,need_policy,c_fedgov,c_corps,c_farmers,c_public,1_loop1,2_loop1,3_loop1,4_loop1,5_loop1,6_loop1,7_loop1,8_loop1,10_loop1,11_loop1,12_loop1,13_loop1,14_loop1,15_loop1,16_loop1,17_loop1,18_loop1,19_loop1,20_loop1,21_loop1,22_loop1,23_loop1,24_loop1,25_loop1,26_loop1,27_loop1,28_loop1,29_loop1,30_loop1,31_loop1,32_loop1,33_loop1,34_loop1,1_loop2,2_loop2,3_loop2,4_loop2,5_loop2,6_loop2,7_loop2,8_loop2,9_loop2,10_loop2,11_loop2,12_loop2,13_loop2,14_loop2,15_loop2,16_loop2,17_loop2,18_loop2,19_loop2,20_loop2,21_loop2,22_loop2,23_loop2,24_loop2,25_loop2,26_loop2,27_loop2,28_loop2,29_loop2,30_loop2,31_loop2,32_loop2,33_loop2,1_loop3,2_loop3,3_loop3,4_loop3,5_loop3,6_loop3,7_loop3,8_loop3,9_loop3,10_loop3,11_loop3,12_loop3,13_loop3,14_loop3,15_loop3,16_loop3,17_loop3,18_loop3,19_loop3,20_loop3,21_loop3,22_loop3,23_loop3,24_loop3,25_loop3,26_loop3,27_loop3,28_loop3,29_loop3,30_loop3,31_loop3,32_loop3,33_loop3,four_just_1,four_just_2,four_just_3,four_just_4,comments_overall,pid3,ideo3,lib,con,ideo7,age_groups,degree2,bach_more,ind,worried_cat,need_cat,age_cat,pid_cat,bach_cat,gender_cat,ideo_cat,conf_cat,loop,sm_np,sm_sup,sm_score
22,56,Female,"Moderate, middle of the road",Strong Democrat,High school,Other services,2,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Don't know enough to say,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Don't know enough to say,Strongly favor,Don't know enough to say,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Extremely important,Extremely important,Extremely important,Extremely important,NA,Democrat,Moderate,0,0,0,55-64,HS or less/NA,0,Other services,Worried,Need policy,Older,Democrat,Less than bach,Female,NA,Confidence,3,0.12121212121212127,0.5666666666666668,0.4242424242424245
23,59,Female,Liberal,Strong Democrat,Advanced degree,Financial and insurance activities,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat important,Not al all important,Somewhat important,Extremely important,Everything was very clear and easy to understand.,Democrat,Liberal,1,0,-2,55-64,Advanced,0,Finance/Insur,Worried,Need policy,Older,Democrat,Less than bach,Female,Liberal,Confidence,3,0.7575757575757576,0.9310344827586208,1.5151515151515151
24,42,Male,Leaning liberal,"Independent, leans Democrat",Bachelor's degree,Real estate activities,1,2,2,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly oppose,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Strongly favor,Somewhat favor,Strongly favor,Strongly oppose,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,Somewhat favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,I would ask beforehand if the subject know what subsidies are.  If you don't this study is worthless.,Ind/Other,Moderate,0,0,-1,35-44,Bachelor,1,Real estate,Worried,Need policy,Younger,NA,Bach or more,Male,NA,Doubt,2,0.5151515151515151,0.7575757575757576,0.9696969696969697
25,23,Female,Liberal,Democrat,High school,"Wholesale and retail trade, transportation and storage, accommodation and food service activities",2,2,2,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Strongly favor,Don't know enough to say,Somewhat favor,Strongly oppose,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Somewhat favor,Strongly oppose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Somewhat important,Extremely important,Extremely important,NA,Democrat,Liberal,1,0,-2,18-24,HS or less/NA,0,Retail/logistics,Worried,Need policy,Younger,Democrat,Less than bach,Female,Liberal,Doubt,2,0.24242424242424243,0.625,0.4242424242424242
26,30,Male,Leaning liberal,Democrat,Bachelor's degree,"Professional, scientific, technical, administration and support service activities",2,2,2,0,0,2,0,Strongly favor,Somewhat oppose,Somewhat oppose,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,Somewhat favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly oppose,Strongly favor,Strongly favor,Strongly favor,Somewhat oppose,Strongly favor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely important,Extremely important,Extremely important,Extremely important,NA,Democrat,Moderate,0,0,-1,25-34,Bachelor,1,Professional,Worried,Need policy,Younger,Democrat,Bach or more,Male,NA,Doubt,1,0.4545454545454545,0.7272727272727273,1
27,21,Female,Liberal,Strong Democrat,High school,Other services,2,2,2,1,1,3,2,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Somewhat favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Don't know enough to say,Somewhat favor,Strongly favor,Strongly favor,Don't know enough to say,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Strongly favor,Don't know enough to say,Strongly favor,Strongly favor,Don't know enough to say,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Very important,Extremely important,Very important,Extremely important,"No, good survey!",Democrat,Liberal,1,0,-2,18-24,HS or less/NA,0,Other services,Worried,Need policy,Younger,Democrat,Less than bach,Female,Liberal,Doubt,1,0.7575757575757576,1,1.3636363636363638
28,28,Male,Liberal,"Independent, leans Democrat",Bachelor's degree,"Public administration, defence, education, human health and social work activities",2,2,2,1,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Strongly oppose,Strongly favor,Somewhat oppose,Strongly oppose,Strongly favor,Somewhat favor,Somewhat favor,Strongly oppose,Somewhat favor,Somewhat oppose,Strongly oppose,Somewhat oppose,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Extremely important,Extremely important,Extremely important,Extremely important,NA,Ind/Other,Liberal,1,0,-2,25-34,Bachelor,1,Public admin,Worried,Need policy,Younger,NA,Bach or more,Male,Liberal,Doubt,3,0.2121212121212122,0.6060606060606061,0.42424242424242437
29,23,Female,"Moderate, middle of the road",Independent,High school,Other services,-1,1,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Don't know enough to say,Don't know enough to say,Strongly oppose,Somewhat oppose,Don't know enough to say,Somewhat favor,Strongly oppose,Don't know enough to say,Don't know enough to say,Strongly oppose,Don't know enough to say,Somewhat oppose,Somewhat favor,Strongly oppose,Somewhat oppose,Don't know enough to say,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly oppose,Somewhat favor,Somewhat oppose,Don't know enough to say,Strongly favor,Somewhat oppose,Somewhat favor,Don't know enough to say,Strongly oppose,Strongly oppose,Somewhat oppose,Somewhat favor,Strongly oppose,Extremely important,Very important,Very important,Somewhat important,No comment,Ind/Other,Moderate,0,0,0,18-24,HS or less/NA,0,Other services,Not worried,Need policy,Younger,NA,Less than bach,Female,NA,Doubt,3,-0.3636363636363636,0.25,-0.6666666666666667
30,60,Female,Liberal,Strong Democrat,Advanced degree,Other services,1,1,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Somewhat favor,Strongly oppose,Somewhat favor,Don't know enough to say,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat favor,Strongly favor,Somewhat favor,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat oppose,Somewhat favor,Somewhat oppose,Somewhat favor,Somewhat favor,Somewhat favor,Strongly oppose,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat favor,Strongly favor,Somewhat oppose,Very important,Somewhat important,Very important,Somewhat important,No comments,Democrat,Liberal,1,0,-2,55-64,Advanced,0,Other services,Worried,Need policy,Older,Democrat,Less than bach,Female,Liberal,Confidence,3,0.42424242424242425,0.71875,0.5757575757575758
31,30,Male,Extremely liberal,Strong Democrat,"Associate degree, junior college, or technical program","Professional, scientific, technical, administration and support service activities",2,2,2,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat favor,Somewhat oppose,Strongly favor,Somewhat favor,Don't know enough to say,Don't know enough to say,Don't know enough to say,Somewhat oppose,Strongly favor,Strongly favor,Somewhat favor,Somewhat favor,Don't know enough to say,Somewhat favor,Strongly favor,Somewhat favor,Don't know enough to say,Don't know enough to say,Don't know enough to say,Don't know enough to say,Strongly favor,Don't know enough to say,Don't know enough to say,Somewhat favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Strongly favor,Somewhat favor,Strongly favor,Somewhat oppose,Somewhat oppose,Very important,Not al all important,Extremely important,Extremely important,NA,Democrat,Liberal,1,0,-3,25-34,Assoc/tech,0,Professional,Worried,Need policy,Younger,Democrat,Less than bach,Male,Liberal,Doubt,3,0.4545454545454545,0.8260869565217391,0.7878787878787878
